16-7-21 下午1:57
项目统计

     	    片段	    词汇	字符（无空白）	字符（含空白）	#Files	
总共：  	101133	421051	3605151	3954532	  2065	
剩余：  	 83148	379180	3333065	3660972	  2065	
独特：  	 47359	300630	2532248	2817008	  2064	
剩余独特：	 47010	298063	2515315	2797722	  2064	


单文件统计：

文件名                                                                     	 总片段	剩余片段	独特片段	剩余独特片段	总计词汇	剩余词汇	独特词汇	剩余独特词汇	总字符（无空白）	剩余字符（无空白）	独特字符（无空白）	剩余独特字符（无空白）	总字符（含空白）	剩余字符（含空白）	独特字符（含空白）	剩余独特字符（含空白）	
documentation/2ddrawing/unclipoutput.html                               	  27	  17	   8	     8	  71	  58	  47	    47	     652	      576	      423	        423	     696	      617	      464	        464	
documentation/array/arraysize.html                                      	  35	  26	  24	    24	 137	 125	 123	   123	    1200	     1127	     1090	       1090	    1302	     1226	     1189	       1189	
documentation/array/copyarray.html                                      	  36	  28	  27	    27	 152	 141	 140	   140	    1311	     1245	     1235	       1235	    1427	     1358	     1348	       1348	
documentation/array/freearray.html                                      	  22	  14	  11	    11	  52	  41	  38	    38	     406	      342	      311	        311	     434	      367	      336	        336	
documentation/array/index.html                                          	  34	  28	  19	    19	 116	 106	 100	   100	     855	      793	      697	        697	     936	      869	      773	        773	
documentation/audiocd/audiocdlength.html                                	  19	  12	  11	    11	  40	  30	  29	    29	     369	      308	      298	        298	     393	      329	      319	        319	
documentation/audiocd/audiocdname.html                                  	  20	  12	  10	    10	  61	  50	  48	    48	     467	      403	      378	        378	     513	      446	      421	        421	
documentation/audiocd/audiocdstatus.html                                	  23	  15	   9	     9	  75	  64	  59	    59	     533	      469	      388	        388	     594	      527	      446	        446	
documentation/audiocd/audiocdtracklength.html                           	  22	  15	  11	    11	  52	  42	  34	    34	     493	      434	      365	        365	     527	      465	      392	        392	
documentation/audiocd/audiocdtracks.html                                	  19	  11	   7	     7	  42	  31	  27	    27	     370	      306	      245	        245	     398	      331	      270	        270	
documentation/audiocd/audiocdtrackseconds.html                          	  21	  13	   7	     7	  52	  41	  35	    35	     529	      465	      358	        358	     565	      498	      391	        391	
documentation/audiocd/ejectaudiocd.html                                 	  21	  14	  10	    10	  50	  40	  36	    36	     382	      321	      266	        266	     415	      351	      296	        296	
documentation/audiocd/index.html                                        	  39	  33	  22	    22	  83	  73	  62	    62	     947	      885	      700	        700	     992	      925	      740	        740	
documentation/audiocd/initaudiocd.html                                  	  18	  10	   7	     7	  73	  63	  60	    60	     493	      429	      385	        385	     553	      487	      443	        443	
