alphanumeric sort	按字母数字顺序排列
publication	发布
unbound form	未绑定表单
statement of health	运行状况声明
SoH	SoH
product connector	产品连接器
Signature Setup	签名设置
participant	参加者
meeting participant	会议参加者
hat switch	顶帽控制器
Monitoring Server Configuration Manager	监控服务器配置管理器
closed generic type	封闭式泛型类型
TestClass attribute	TestClass 属性
infrared	红外线
Euro-Techno	欧洲数字音乐
calculated field	计算字段
intercompany sales order	内部公司销售订单
handwriting recognizer	手写识别器
CLM Request Enroll	CLM Request Enroll
test developer	测试开发人员
phone bridge	电话网桥
simultaneous multithreading	多线程并行处理
SMT	SMT
hyperthreading	超线程
compose	撰写
leaf node	叶节点
leaf	叶
inline warning control	内联警告控制
Hardware Locked Mode	Hardware Locked Mode
HLM	HLM
Planning Business Modeler	规划业务建模器
Business Modeler	业务建模器
MP3	MP3
MPEG Audio Layer-3	MPEG Audio Layer-3
denial	拒绝
ASP.NET server control	ASP.NET 服务器控件
system health agent	系统健康代理
SHA	SHA
Report Definition Language	报表定义语言
RDL	RDL
enlistment	登记
DCR	DCR
Digital Cable Ready	具有数字线功能
x86	x86
.ins file	.ins 文件
Internet settings file	Internet 设置文件
root model site	根模型站点
Public Key Cryptography Standards	公钥加密标准
query clause	查询子句
transform	转换
Windows Diagnosis and Recovery	Windows 诊断和恢复
Side by Side	并排
data visualization	数据可视化
Christian Rock	基督教摇滚
access control	访问控制
Line Printer Remote	Line Printer Remote
LPR	LPR
restricted user	受限的用户
CLR function	CLR 函数
report view group	报告视图组
Hub Transport server role	集线器传输服务器角色
UAS	UAS
user account system	用户帐户系统
alternate access mapping	备用访问映射
Mailbox server role	邮箱服务器角色
agent update	代理更新
logical datacenter	逻辑数据中心
AxBC class	AxBC 类
Development Tools Environment	开发工具环境
Windows NT token-based application	基于 Windows NT 令牌的应用程序
MSN	MSN
thesaurus	同义词库
Read+Write permission	读写权限
disabled control	禁用的控件
HWS	HWS
Human Workflow Services	工作流程服务
Sports Scoreboard	运动计分牌
repeating table	重复表
HSL	HSL
file group	文件组
certificate subscriber	证书订阅人
Document Workspace site	文档工作区网站
Document Workspace	文档工作区
full zone transfer	完整区域复制
SQL expression	SQL 表达式
end date-based	以结束日期计算
file handle	文件句柄
MFC Smart Device DLL Wizard	MFC 智能设备 DLL 向导
primary dimension table	主维度表
simple network	简单网络
professional-looking	专业外观
breadcrumb navigation	痕迹导航
soft restart	软重启
warm boot	热启动
Direct Selection	路径选择
transport calendar	运输日历
segmentation	分段
Web Parts connection	Web 部件连接
font scheme	字体方案
Alerter service	警报服务
business rule	业务规则
animation effect	动画效果
port connector line	端口连接线
advance ship notice	发货通知
ASN	ASN
relational model	关系模型
MathML	MathML
social engineering	社会工程
DWORD	DWORD
dword	DWORD/双字
euro symbol	€ 符号
cycle	周期
event chronicle rule	事件历史记录规则
mickey	鼠标精确度
battery life	电池使用时间
debit	借方
package definition file	包定义文件
interactive	交互式的
parent project	上级项目
risk	风险
default member	默认成员
Block Programs List	阻止程序列表
fiscal year	会计年度
Soul	灵魂乐
security settings	安全设置
Question Manager	答案管理器
portal URL	门户 URL
business view	业务视图
guide point	辅助点
Competitor Win Loss	竞争对手输赢报告
sales forecast	销售预测
initial tape	起始磁带
virtual machine permissions	虚拟机权限
apartment-threaded component	单元线程组件
CLM Enroll	CLM Enroll
XML Schema Document	XML 架构文档
network connection	网络连接
Protective MBR	保护性 MBR
real-time	实时
report definition	报表定义
cascade	层叠
GxP Predicate Rules	GxP 预测规则
initiator	发起程序
performance management	绩效管理
Show Extended View	显示扩展视图
Strong Lyrics	粗暴歌词
compatible	兼容
solution concept	解决方案概念
posting profile	过帐模板
intrusion detection system	入侵检测系统
bandwidth	带宽
corrupted heap pointer	损坏的堆指针
triage	会审
Windows Flip	Windows 窗口切换
data provider	数据提供程序
system databases	系统数据库
common script	公用脚本
background processing	后台处理
asynchronous device	异步组件
repetition	重复
correlation ID	相关 ID
edit service	编辑服务
post-deployment script	后期部署脚本
specification	规范
export format	导出格式
resource leak	资源泄露
class ID	类 ID
CLSID	CLSID
class identifier	类标识符
protection group member	保护组成员
autochanger	自动换带机
Technology Guarantee	技术保障
product model	产品模型
legend	图例
trial edition	试用版
rendering object model	呈现对象模型
on order	在单
literal type character	文本类型字符
Gateway script	网关脚本
print server	打印服务器
service report	服务报表
data record	数据记录
touch input	触控输入
touch	触控
ASCII	ASCII
American Standard Code for Information Interchange	ASCII(American Standard Code for Information Interchange)
energetic	精力充沛的
coded Web test	编码 Web 测试
source of lead	潜在顾客来源
"Fade Out, To Black"	淡出，变黑
cross-model mapping	跨模型映射
Web Part	Web 部件
rewind	后退
parent element	父元素
pseudo-random function	伪随机功能
PRF	PRF
exception	异常
Directory Services Markup Language	目录服务标记语言
DSML	DSML
artboard	美工板
planned transfer order	计划转移单
byte order	字节顺序
REVERSE SOLIDUS	反斜线号
backslash	反斜杠
member association	成员关联
virtual server	虚拟服务器
Pixelate	像素化
resource file	资源文件
Rotate 90	旋转 90
currency code	币种代码
restart	重启
AD MS	AD MS
Active Directory Metadirectory Services	Active Directory Metadirectory Services
RGB value	RGB 值
diagram	关系图
strategy map	战略地图
Microsoft Office SharePoint Portal Server	Microsoft Office SharePoint Portal Server
SharePoint Portal Server	SharePoint Portal Server
subset	子集
AGPM Service Account	AGPM 服务帐户
dimension member	维度成员
Active Server Pages	Active Server Pages
valid XML	有效的 XML
full path	完整路径
Edge Subscription file	边缘订阅文件
service resource record	服务资源记录
SRV resource record	SRV 资源记录
PerformancePoint Dashboard Designer	PerformancePoint 仪表板设计器
Dashboard Designer	仪表板设计器
user-friendly	用户友好
imperative security check	命令性安全检查
Sync Wizard	同步向导
Communicator Tour	Communicator 教程
creative content	有创意的内容
Resources	资源
liquidity ratio	流动比率
Conversation History	对话历史记录
null object	空对象
hybrid OLAP	混合 OLAP
messaging records management	邮件传递记录管理
MRM	MRM
adequate stack	充足堆栈
Funk	疯克
Communication History	通信历史记录
consolidation	合并汇总
Strong Language	粗暴语言
SSL server certificate	SSL 服务器证书
Axd	Axd
modulo	取模
ad hoc reporting	特别报告
word processor	字处理器
mobile user control	移动用户控件
recognized text	已识别文字
Team Management	团队管理
Winnt.exe	Winnt.exe
tag ID	标记 ID
tag identifier	标记标识符
fax modem	传真调制解调器
user administrator role	用户管理员角色
Aero	Aero
"Authentic, Energetic, Reflective, and Open"	"Authentic, Energetic, Reflective, and Open"
XPS Viewer EP	XPS 查看器 EP
store zone	贮存区域
flash memory card	闪存卡
Sharing frame	共享框
item number	物料编号
polygon	多边形
deferred transaction	延迟的事务
Network Discovery method	网络发现方法
service coverage	服务范围
Shared Resource Provider	共享资源提供单元
SRP	SRP
row guide	列参考线
probability	概率
pipeline object	管道对象
kit item	配套物品
kit	配套件
dynamic policy update	动态策略更新
motherboard	母板
system board	系统板
bulk order	批量订单
logging mode	日志模式
repeat delay	重复延迟
spreading	分配
range variable	范围变量
Add	添加
unrated	未分级的，未打分的
Send/Receive group	发送和接收组
Error tab	错误选项卡
system job	系统作业
templated control	模板化控件
data member	数据成员
unrealized gain	或有利润
virtual IP address	虚拟 IP 地址
control device object	控制设备对象
logical link control and adaptation protocol	逻辑链路控制和适配协议
L2CAP	L2CAP
Common Intermediate Language	公共中间语言
CIL	CIL
Component-Based Servicing	基于组件的服务
CBS	CBS
confirm your subscription	确认您的订阅
cache aging	缓存老化
marketing list	市场营销列表
date literal	日期字符串
double byte character set	双字节字符集
Altstoff Recycling Austria AG notification	Altstoff Recycling Austria AG 通知
contract address	合同地址
incompatible	不兼容
American National Standards Institute	美国国家标准学会
ANSI	ANSI
permission type	权限类型
percent sign	百分号
parent customer	上级客户
Mahjong Titans	Mahjong Titans
snapshot definition	快照定义
dithering	抖动
virtual hard disk	虚拟硬盘
transceiver	收发器
background graphics	背景图形
freight	货运费用
current	当前
Space	太空
route	路由
WIP calculation	WIP 计算
parent picklist	父选择列表
BUILTIN\Administrators	BUILTIN\Administrators
Page Editor	封面编辑器
workday	工作日
Make Changes	进行更改
cube	多维数据集
OLAP cube	OLAP 多维数据集
script file	脚本文件
column field	列字段
subscription computing	订阅计算技术
WAU	WAU
Windows Anytime Upgrade	Windows Anytime Upgrade
agentless managed	无代理程序管理
row-overflow data	行溢出数据
crawl	抓取
code comment Web report	代码注释 Web 报表
bug convergence	Bug 收敛
source code configuration file	源代码配置文件
Export	导出
sales tax group	销售税组
test list	测试列表
Web Conferencing Edge Server	Web 会议边缘服务器
auditor	审计
Windows Restrictions	Windows 限制
kilobit	千位
metric	跃点数
Scorecard Web Part	记分卡 Web 部件
whiteboard	白板
MOM Administrator Console	MOM 管理员控制台
ISA expansion slot	ISA 扩展槽
sender policy framework	发件人策略框架
SPF	SPF
database schema	数据库架构
database structure	数据库结构
unsolicited commercial e-mail	商业垃圾邮件
junk e-mail	垃圾邮件
spam	垃圾邮件
UCE	UCE
remote management	远程管理
XPS Essentials Pack	XPS Essentials Pack
pivot currency	先导货币
data space	数据空间
execute	执行
actual demand	实际需求
miter limit	斜接限制
Session Countdown	会话倒计时
automatic	自动的
Windows Internet Name Service	Windows Internet 名称服务
WINS	WINS
shared folder permissions	共享文件夹权限
global trade identification number	全球贸易标识号
Account Number	客户编号
data buffer	数据缓冲区
property expression	属性表达式
WAN	WAN
wide area network	广域网
self-service policy	自助服务策略
discovered group	已发现的组
sales stage	销售阶段
shutdown	关闭
risk statement	风险声明
Virtual Machine Manager agent	Virtual Machine Manager 代理
distribute	分布
pie chart	饼图
leader character	前导符
host rating	主机级别
derived class	派生类
Overview	概述
superscope	超级作用域
media server	媒体服务器
Whiteboard slide	白板幻灯片
starter kit	初学者工具包
external display	外部显示器
additional display	辅助显示器
network share	网络共享
unified communications	统一通信
UC	UC
query	查询
BIND boot file	BIND 引导文件
BAS	BAS
Business Activity Services	业务活动服务
library share	库共享
Windows PowerShell - Virtual Machine Manager command shell	Windows PowerShell - Virtual Machine Manager 命令行界面
sales report	销售报表
DHCP Enforcement	DHCP 强制
direct e-mail	电子直邮
shared schedule	共享的计划
material	材料
custom rollup	自定义汇总
Strong Sexual Content	粗暴色情内容
Web Meeting Place	Web 会议室
Media Center Extender	媒体中心扩展器
encode	编码
federated database servers	联合数据库服务器
parent business unit	上级业务部门
Windows Vista Upgrade Advisor	Microsoft Windows 升级顾问
Windows Installation Compatibility Advisor	Windows 安装兼容性顾问
raster graphic	光栅图形
composite data type	复合数据类型
restriction level	限制等级
orthographic camera	正交相机
feature selection	特征选择
email server	电子邮件服务器
mail server	邮件服务器
e-mail server	电子邮件服务器
explicit selection	显式选择
planned work	计划工作
UPWARDS ANCORA	UPWARDS ANCORA
payload	净载重量
pressed appearance	压缩外观
optimize synchronization	优化同步
regression tree	回归树
control template	控件模板
custom variable	自定义变量
key performance indicator	关键绩效指标
KPI	KPI
proactive caching	主动缓存
ODBC data source	ODBC 数据源
BizTalk project system	BizTalk 项目系统
Address Rewriting Outbound agent	地址重写出站代理
system profile	系统配置文件
content-based routing	基于内容的路由
Microsoft CRM desktop client for Microsoft Office Outlook	Microsoft CRM desktop client for Microsoft Office Outlook
Microsoft CRM desktop client for Outlook	Microsoft CRM desktop client for Outlook
Settings Management Interface	设置管理界面
SPACEBAR	空格键
dirty region	更新范围
share path	共享路径
CIM	CIM
Common Information Model	通用信息模型
CLM Audit	CLM Audit
Club-House	俱乐部
http	http
HTTP	HTTP
Hypertext Transfer Protocol	超文本传输协议
array	数组
Enrollment Agent	Enrollment Agent
WordArt Gallery	艺术字库
shortcut trust	快捷方式信任
NAK	NAK
negative acknowledgment	反确认
approval history	审批历史记录
License Manager	许可证管理器
junction point	交接点
server certificate	服务器证书
presenter tools	演示者工具
corruption	损坏
smart card unblocking	智能卡解除锁定
NWLink IPX/SPX/NetBIOS Compatible Transport Protocol	NWLink IPX/SPX/NetBIOS 兼容传输协议
NWLink	NWLink
provider endpoint	提供方终结点
pending change	挂起的更改
value type	值类型
Session Timers	会话计时器
report link	报表链接
bounding box	范围框
hidden partition	隐藏分区
V.90	V.90
group box	分组框
DVD-Audio	DVD 音频
attendee key	与会者密钥
replica set topology	副本集拓扑
alpha mask	alpha 蒙板
opacity mask	不透明蒙板
Shadow	卷影报告
command	命令
item group	物料组
AGPM Service	AGPM 服务
library request	库请求
container control	容器控件
sector	扇区
quota template	配额模板
Pen	笔
Remote Desktop Connection	远程桌面连接
RDC	RDC
global theme	全局主题
Ticker Tape	纸带
public queue	公用队列
target diagram	目标图
ghost row	虚影行
ghost record	虚影记录
"Speed Up, Double"	加速，双倍
XML Paper Specification	XML 纸张规范
XPS	XPS
Bluetooth adapter	蓝牙无线收发器
Bluetooth radio	蓝牙无线收发器
Bluetooth transceiver	蓝牙无线收发器
Windows Recovery Environment	Windows 恢复环境
Windows RE	Windows RE
.NET Framework class library	.NET Framework 类库
class library	类库
closed path	封闭的路径
clean system	干净系统
voice message originator	语音消息发送方
group identifier	组标识符
GID	GID
Shape tool	形状工具
phone integration	电话集成
security log	安全日志
spline	自由绘制曲线
freeform curve	自由绘制曲线
global domain identifier	全局域标识符
Windows Experience Index	Windows 体验指数
full outer join	完全外部联接
digital license	数字许可证
SQL Server component	SQL Server 组件
vertical offset	垂直偏移
tagged contact	已标记的联系人
convert	转换
form	表单
end-to-end authentication	端到端身份验证
single click	单击
objects view	对象视图
data map	数据映射
encrypted data	加密数据
default language	默认语言
cascading menu	级联菜单
child menu	子菜单
data validation	数据验证
URL mapping	URL 映射
nickname	昵称
borrowed time	透支时间
borrowed usage time	借用使用时间
Business Scorecard Manager Server database	Business Scorecard Manager Server 数据库
network profile	网络配置文件
WHERE clause	WHERE 子句
Speakerphone	扬声器
full duplex	全双工
data region	数据区域
command prompt	命令提示符
campaign item	市场活动项
Add Person to Call…	向呼叫中添加人员
internal Web site	内部网站
planned order	计划订单
grave accent	重音符
GRAVE ACCENT	重读符号
.mof file	.mof 文件
MOF file	MOF 文件
transport time	运输时间
IDC/HTX files	IDC/HTX 文件
resolution state	解决状态
inventory order	库存订单
bonus indicator	奖金标志
audio conference line	音频会议线
Scenario	应用场景
book code	帐簿代码
Comments	注释
active field	活动字段
partial	部分
concordance file	应对文件
Cartoon Violence	卡通暴力
Web Service Details window	“Web 服务详细信息”窗口
enterprise-level project	企业级项目
.odx file	.odx 文件
workflow process	工作流程
data writer plug-in	数据编写器
bank payment	银行付款
property group	属性组
synchronization conflict	同步冲突
sync conflict	同步冲突
enhanced	增强的
unauthorized server	未授权的服务器
REGISTERED SIGN	注册标记
home folder	主文件夹
actor	参与者
depreciation	折旧
HREF	HREF
Design view	设计视图
EDIFACT UNOB syntax	EDIFACT UNOB 语法
State/Region	国家/地区
control bar	控件条
property cache	属性缓存
time fence	时限
envelope schema	信封架构
hot plugging	热插入
hot swapping	热交换
dependent client	从属客户端
Time Stamp Counter	时间戳计数器
TSC	TSC
instance message	即时消息
community name	共同体名称
Data Processor component	数据处理器组件
navigation pane	导航窗格
multi-part message type	多部分消息类型
Live Meeting administrator	Live Meeting 管理员
adjustment handle	调整手柄
compatibility checker	兼容性检查器
account alias	帐户别名
site code	站点代码
entry	项
Blues	蓝调
basket	购物车
shopping cart	购物车
cart	购物车
database diagram	数据库关系图
cube definition	多维数据集定义
better than ever	好于以往
separator character	分隔符
set union	并集
trace log	跟踪日志
out of memory	内存不足
edit behavior	编辑行为
Microsoft PnP Utility	Microsoft PnP 工具
crypto set	加密集
software factory product	软件工厂产品
Family Safety	家庭安全
Tablet Settings	Tablet 设置
fully-featured site	极具特色的网站
shadow copy client software	卷影复制客户端软件
billing address	帐单邮寄地址
bill-to address	帐单寄往地址
HYPHEN	连字号
hyphen	连字符
unlocked user profile	解除锁定的用户文件
Distributed System Designer	分布式系统设计器
content revocation	内容吊销
decrease	递减
validate	验证
Content Expiration	内容有效期限
lead byte	前导字节
device authentication	设备身份验证
color ramp	颜色渐变
Server Side Incremental	服务器端递增
Confirmation time out	确认等待
page restore	页面还原
pass order	传递顺序
failed	失败
context ID	上下文 ID
intercompany dimension	内部公司维度
Microsoft SQL Server Service Broker	Microsoft SQL Server Service Broker
SQL Server Service Broker	SQL Server Service Broker
Service Broker	Service Broker
dominant control	基准控件
default host	默认主机
design template	设计模板
application log	应用程序日志
Sync Center	同步中心
diagram effect option	图表效果选项
regression test	回归测试
page time	页面时间
virtual machine host	虚拟主机
host machine	主机
mandatory profile	强制性配置文件
backup set catalog	备份集目录
breadcrumb bar	痕迹导航栏
address bar	地址栏
FlexGo Management Portal	FlexGo 管理门户
FMP	FMP
key roaming	密钥漫游
fine-grained lock	细粒度锁
memory map	内存图
Raspberry Filling Button	树莓夹心按钮
dictionary	字典
trace	跟踪
Windows Media Connect	Windows Media Connect
Publish this phone number	公开此电话号码
application notification	应用程序通知
volume license	批量许可证
Gopher server	gopher 服务器
checklist	清单
warp	弯曲
delegated registration model	委派注册模式
gross amount	总额
active object	活动对象
Configuration Manager software distribution	Configuration Manager 软件分发
smoke test	冒烟测试
build verification test	版本验证测试
BVT	BVT
build acceptance test	版本验收测试
Virtual Machine Manager server	Virtual Machine Manager 服务器
direction code	方向代码
cross-page posting	跨页面发送
"Brightness, Decrease"	亮度，降低
Web Conferencing Server	Web 会议服务器
default printer	默认打印机
progress bar	进度栏
meeting response	会议响应
Business Contact Record	业务联系人记录
Key lock	键盘锁定
Intelligent Instant Message Filter	智能即时消息筛选器
Intelligent IM Filter	智能 IM 筛选器
floating-point number	浮点数
floating point	浮点
Professional Information	专业信息
publish multiple Web sites	发布多个网站
secondary database	辅助数据库
interchange	交换
hour transaction	工时交易记录
probability and impact matrix	概率和影响矩阵
user mode	用户模式
nonnullable parameter	非空参数
printer	打印机
print device	打印设备
verbose mode	详细模式
BitLocker Drive Encryption	BitLocker 驱动器加密
BitLocker	BitLocker
data-centered design	以数据为中心的设计
command line deployment tool	命令行部署工具
multicast delivery	多播传递
segment tag	段标记
consumption	消耗
Instrumental rock	器乐摇滚
container application	容器应用程序
Provisioning Server	配置服务器
cluster ordered dither	群集顺序抖动
accumulation	累计
Use of Drugs	毒品使用
reference type	引用类型
Secured Execution Environment	Secured Execution Environment
SEE	SEE
slide show	幻灯片放映
Multiple Render Targets	多重渲染目标
MRTs	MRTs
group inheritance	组继承
earnings	收益
CLUT	CLUT
color look-up table	颜色表
Universal Disk Format	通用磁盘格式
UDF	UDF
Agent XP	代理 XP
Real-time protection	实时保护
case	事例
dictionary attack	字典式攻击
system definition	系统定义
multidimensional array	多维数组
network mask	网络掩码
custom order	自定义顺序
override criteria	替代条件
PostScript	PostScript
Data Control Language	数据控制语言
Connect to a Projector	连接到投影仪
data dictionary	数据字典
system variable	系统变量
hard disk drive	硬盘驱动器
tentative	暂定的
sales tax code	销售税代码
blindness	失明
ship date	装运日期
protected partition	受保护的分区
Alcohol and/or Tobacco	酒精和/或烟草
control character	控制字符
denormalize	使非规范化
shared ownership	共享的所有权
line property	记录属性
analogue copy protection	模拟版权保护
chart sheet	图表工作表
drawing page	绘图页
scalability	可伸缩性
BizTalk BAS Administrators	BAS 业务管理员角色
Web Parts control	Web 部件控件
rollup	汇总
syntactic validation	语法验证
republisher	重新发布服务器
repeating field	重复域
iteration plan	迭代计划
inventory	库存
error state number	错误状态号
contained subgroup	包含的子组
performance analysis	性能分析
index page	索引页
work breakdown structure	工作分解结构
WBS	WBS
SOAP message	SOAP 消息
Windows Workflow Foundation	Windows Workflow Foundation
daily backup	每日备份
prototype	原型
Test Effectiveness	测试有效性
reference group	引用组
key	关键值
bill	帐单
output file	输出文件
Microsoft CRM Data Migration Framework	Microsoft CRM Data Migration Framework
global rule	全局规则
scaling	缩放
COM object	COM 对象
cross-database ownership chaining	跨数据库所有权链接
multidimensional OLAP	多维 OLAP
lock token	锁定标记
text formatting	文本格式
list	列出
rewind	倒带
workflow step	工作流程步骤
SmartArt graphic	SmartArt 图形
mutex	互斥
mutual exclusion	互相排斥
Unmute	取消静音
hue-saturation-brightness	色调-饱和度-亮度
HLS	HLS
hue-lightness-saturation	色调-亮度-饱和度
hanging indent	悬挂缩进
Jobs view	作业视图
power scheme	电源方案
power plan	电源计划
combine	合并
Nudity	裸露
retry	重试
Advanced Connection Settings	高级连接设置
reusable bookmark	可重用书签
Received Files	接收到的文件
data explosion	数据爆炸
package refresh	包刷新
rowset	行集
Questions and Answers pane	问答窗格
translation matrix	翻译矩阵
gutter margin	装订线边距
thread safety	线程安全性
source cube	源多维数据集
FIFO inventory valuation method	先进先出存货计价方法
"first in, first out inventory valuation method"	先进先出计价方法
SQL Server Reporting Services	SQL Server Reporting Services
Microsoft SQL Server Reporting Services	Microsoft SQL Server Reporting Services
DirectPlay	DirectPlay
transformation input	转换输入
Signed - verified	确认已签署
fragment	片段
metadata database	元数据数据库
Managed Computers	托管计算机
insensitive cursor	不感知游标
constrained field	约束字段
LINQ provider	LINQ 提供程序
push	推送
multithreaded unsynchronized access	多线程非同步访问
Case Type	案例类型
object initializer	对象初始值设定项
pause usage time	暂停使用时间
ASMX file	ASMX 文件
savepoint	保存点
Commerce Server Manager	商业服务器管理器
test method	测试方法
host bus adapter	主机总线适配器
HBA	HBA
range check	范围检查
scroll wheel	滚轮
retrieve	检索
internal style	内部样式
Speech	演说
PAL DV-AVI	PAL DV-AVI
DV-AVI (PAL)	DV-AVI (PAL)
dispatch	发货
Load Test Analyzer	负载测试分析器
Quick Styles	快速样式
Customer Feedback	客户反馈
Comic Mischief	动画级恶作剧
API server cursor	API 服务器游标
transfer price	转让价格
Action Bar	操作栏
file DSN	文件 DSN
latch	闩锁
Microsoft Dynamics CRM Live	Microsoft Dynamics CRM Live
Microsoft Dynamics CRM Online	Microsoft Dynamics CRM Online
NONE member	NONE 成员
Oldies	老歌
deadlock	死锁
targeting	目标
Business History Folder	业务历史记录文件夹
Upper Provisioning Module	Upper Provisioning Module
UPM	UPM
key attribute	键属性
selection box	选择框
selection rectangle	选择矩形
Windows Firewall shielded mode	Windows 防火墙防护模式
Other Phone	其他电话
Mobile PCI Express Module	移动 PCI 快速模块
MxM	MxM
party	参与方
nullable property	可为空属性
Now Presenting pane	正在演示窗格
String data type	字符串数据类型
origin object	起始对象
Web chat	网上聊天
load test scenario	负载测试方案
column filter	列筛选器
macro-enabled	启用宏的
visual cue	视觉提示
debug zone mask	调试区域掩码
digest delivery	摘要传递
miniversion	迷你版本
Microsoft Foundation Class Library	Microsoft 基础类库
Document Review	文档审阅
volume discount	批发折扣
multibuy discount	数量折扣
discrete interpolation	离散内插
handshake	握手
code group	代码组
control state	控件状态
parts requisition	部件申请
linked table	被链接表
Virtual Machines view	虚拟机视图
management application	管理应用程序
baseline guide	基线参考线
Calendar Concierge	日历助手
.NET Compact Framework	.NET Compact Framework
peak cell rate	信元峰值速率
PCR	PCR
data form	数据表单
Common Language Specification	公共语言规范
CLS	CLS
table	表格
call sign	呼叫信号
input cell	可变单元格
exception handler	异常处理程序
verbs menu	谓词菜单
kerning	字距调整
critical path	关键路径
G	G
Override Price	自定义价格
computer use time counter	计算机使用时间计数器
common language runtime host	公共语言运行时主机
percent margin	边际百分比
Excel Calculation Server	Excel 计算服务器
Web Parts control set	Web 部件控件集
background	后台的
Service Advertising Protocol	服务广告协议
fast forward	快进
mobile controls	移动控件
bandwidth allocation protocol	带宽分配协议
BAP	BAP
cycle end date	周期结束日期
Project Tasks	项目任务
Certificate Lifecycle Manager Client	Certificate Lifecycle Manager Client
phishing	钓鱼
Microsoft Visual Studio .NET	Microsoft Visual Studio .NET
Visual Studio .NET	Visual Studio .NET
set-by-caller callback	呼叫方设置回拨
certificate enrollment	证书注册
enrollment	注册
operations network	运营网络
Web Parts page	Web 部件页面
PUK	PUK
PIN unlock key	PIN 解锁密钥
privilege attribute certificate	特权属性证书
PAC	PAC
Database Mirroring Monitor	数据库镜像监视器
dimension expression	维度表达式
member expression	成员表达式
mix control	混合控件
counter threshold	计数器阈值
Report Web Part	报表 Web 部件
Web page report view	网页报表视图
Office Communications Server Certificate Wizard	Office Communications Server 证书向导
client extension	客户端扩展
data center	数据中心
declarative workflow	声明性工作流
pluggable authentication	可插入验证
workflow definition	工作流定义
workflow policy	工作流策略
Application Center	Application Center
Approval Assistant	审批助手
workflow activation	工作流激活
audience	受众
workflow activity	工作流活动
authentication page	身份验证页
workflow registration	工作流注册
Authoring Connector	创作连接器
event framework	事件框架
Archiving and CDR Server	存档和 CDR 服务器
multitenancy	多组织
multitenant	多组织的
post-event	后期事件
pre-event	前期事件
partial class	分部类
acronym casing guideline	首字母缩略词大小写规则
Allow Partially Trusted Callers Attribute	允许部分信任的调用方属性
build agent	生成代理
build definition	生成定义
class coupling	类耦合
code metric	代码度量
decrement operator	减量运算符
increment operator	增量运算符
Debug Interface Access SDK	调试接口访问 SDK
DIA SDK	DIA SDK
specifier	说明符
IntelliSense	IntelliSense
maintainability index	可维护性指数
serialization class	序列化类
Web Test Recorder	Web 测试记录器
Visual Studio Industry Partner Program	Visual Studio 行业合作伙伴计划
VSIP Program	VSIP 计划
element initializer	元素初始值设定项
collection initializer	集合初始值设定项
variable initializer	变量初始值设定项
array initializer	数组初始值设定项
script injection attack	脚本注入攻击
SQL injection attack	SQL 注入攻击
target framework	目标框架
pager control	页导航控件
key derivation function	密钥派生功能
KDF	KDF
XML standalone	XML standalone
media sense thread	媒体感知线程
HTTP method	HTTP 方法
Huffman tree	huffman 树
Huffman coding	Huffman 编码
step clause	步骤语句
inference rule	推理规则
pre-staged client	预安排客户端
clustered column chart	簇状柱形图
100% stacked column chart	百分比堆积柱形图
3-D column chart	三维柱形图
cylinder chart	圆柱图
cone chart	圆锥图
pyramid chart	棱锥图
floating column chart	悬浮柱状图
100% stacked bar chart	百分比堆积条形图
horizontal cone chart	水平圆锥图
horizontal pyramid chart	水平棱锥图
horizontal cylinder chart	水平圆柱图
standard query operator	标准查询运算符
domain class	域类
domain-specific language	域特定语言
domain relationship	域关系
unshelve	取消搁置
host application	主机应用程序
host control	主机控件
host item	主机项
unbound application	未绑定应用程序
application-level add-in	应用程序级外接程序
deployment report	部署报告
form region	表单区域
logical server prototype	逻辑服务器原型
root application system	根应用程序系统
managed code extension	托管代码扩展
clustered bar chart	簇状条形图
pie of pie chart	子母饼图
bar of pie chart	复合条饼图
exploded pie chart	分离型饼图
exploded pie	分离型饼图
scatter chart	散点图
xy chart	XY 散点图
cluster log	群集日志
cluster storage	群集存储
clustered instance	群集实例
failback	故障回复
failback policy	故障回复策略
permission	权限
port number	端口号
single-threaded apartment	单线程单元
STA	STA
Failover Cluster Management snap-in	故障转移群集管理单元
Generic Application	泛型应用程序
Generic Script	通用脚本
Generic Service	通用服务
surface chart	曲面图
pending	挂起
contour chart	分布图
wireframe contour chart	曲面图(俯视框架图)
doughnut chart	圆环图
quorum configuration	仲裁配置
exploded doughnut chart	分离型圆环图
bubble chart	气泡图
logarithmic trendline	对数趋势线
polynomial trendline	多项式趋势线
Resource Hosting Subsystem	资源宿主子系统
RHS	RHS
power trendline	指数趋势线
resource type	资源类型
exponential trendline	指数趋势线
moving average trendline	移动均线
federation server	联合服务器
federation server proxy	联合服务器代理
resource account	资源帐户
federated user	联合用户
AD?FS-enabled Web server	启用 AD FS 的 Web 服务器
account federation server	联合帐户验证服务器
account federation server proxy	联合帐户验证服务器代理
federated application	联合应用程序
AD?FS Web Agent	AD?FS Web 代理
resource federation server	资源联合服务器
resource federation server proxy	资源联合服务器代理
client authentication certificate	客户端身份验证证书
resource group	资源组
server authentication certificate	服务器身份验证证书
owner password	所有者密码
recovery key	恢复密钥
drive sanitation	驱动器状态
global system key	全局系统密钥
BIOS boot order	BIOS 引导顺序
anti-hammering	反攻击
BitLocker disabled mode	BitLocker 禁用模式
external key	外部密钥
BitLocker enabled mode	BitLocker 启用模式
