alphanumeric sort	按字母数字顺序排列
voice command	语音命令
Guided Help	引导式帮助
accumulated depreciation	累计折旧
CCB	CCB
context control block	上下文控制块
home plan	家居规划
IP address	IP 地址
widget	小组件
resolution	解析
role	角色
BizTalk Server schema	BizTalk Server 架构
Space Explorer	空间资源管理器
setup disk	安装盘
subscriber	订阅方
global resource pointer	全局资源指针
liability	负债
radio frequency identification	射频标识
RFID	RFID
financial information	财务信息
armored	装甲病毒
contact group	联系人组
group	组
source database	源数据库
roll forward	前滚
reflection	反射
proposal	方案
Microsoft Office InterConnect	Microsoft Office InterConnect
Cost Increase	费用超支率
plaintext authentication	纯文本身份验证
Basic authentication	基本身份验证
compression	压缩
bridgehead server	桥头服务器
Freight term	货运条款
Volume Shadow Copy Service	卷影复制服务
VSS	VSS
style picker	样式选取器
PBX	PBX
Private Branch Exchange	专用交换机
currency	货币
logo	徽标
business data action	业务数据操作
business classification	业务分类
site	场所
coprocessor	协处理器
maintenance	维护
DHCP	DHCP
Dynamic Host Configuration Protocol	动态主机配置协议
service agreement	服务协议
startup latency	启动延迟
default gateway	默认网关
compile	编译
build	内部版本
time project	时间项目
life cycle model	生命周期模型
remoting	远程处理
static buffer	静态缓冲区
Any Digit	任意数字
client	客户
get operation	Get 操作
header row	标题行
expand	展开
interactive user	交互用户
Shadow Copy report	卷影复制报告
Acid Jazz	迷幻爵士
Maximum Transmission Unit	最大传输单元
MTU	MTU
social security number	身份证号
SSN	身份证号
DSN-less connection	无 DSN 连接
decibel	分贝
imaging	映像
compliant	"相容的, 符合的, 适合的"
key action	按键操作
MouseKeys	鼠标键
"Fly In, Fly Out"	飞入，飞出
virtual machine ownership	虚拟机所有权
content management	内容管理
TV-MA	TV-MA
Mature Audience Only	仅限成人观众
Print to PDF	打印为 PDF 格式
CISC	CISC
complex instruction set computing	复杂指令集计算
File as Printout	打印样式的文件
keyboard layout	键盘布局
boot drive	启动驱动器
roll forward set	前滚集
summary project	汇总项目
Point-to-Point Protocol over Ethernet	以太网点对点协议
PPPoE	PPPoE
mail recipient	邮件收件人
Health Monitor	Health Monitor
error code	错误代码
full-text index	全文检索
full-text search index	全文检索
box model	方框模型
bulk rowset provider	BULK 行集提供程序
operating system	操作系统
network security key	网络安全密钥
network key	网络密钥
online	联机
click	单击
compatibility	兼容性
property bag	属性包
reserved word	保留字
Windows Resume Loader	Windows 恢复加载程序
default user	默认用户
control-break	Ctrl+Break
Ctrl+Break	Ctrl+Break
2-D	2-D
two-dimensional	二维
n/a	n/a
N/A	N/A
not applicable	暂缺
Heart Pan Button	心型盘按钮
ASF	ASF
Advanced Systems Format	高级流格式
substitute product	替代产品
substitute	替代品
batch	批
switch parameter	开关参数
link path	链接路径
moniker	名字对象
ADMX files	ADMX 文件
alternative text	可选文字
asset	资产
Fast User Switching	快速用户切换
schema master	架构主机
report snapshot	报表快照
snapshot	快照
stack rank	堆栈级别
product group	产品组
stub zone	存根区域
duplicate	复制
campaign goaling	广告活动目标设定
goaling	活动目标设定
acceptable use policy	可接受的使用策略
AUP	AUP
color monitor	彩色监视器
SerialKey device	串行键设备
measure group	度量值组
font size	字号
Folder List	文件夹列表
gain insight	深入探索
high-memory area	高存储区
HMA	HMA
certificates snap-in	证书管理单元
application database	应用数据库
recovery period	回收期
PJL	PJL
Printer Job Language	打印机作业语言
handwriting dictionary	手写词典
delegated evaluator	委托计算器
CAPS LOCK	Caps Lock
CAPS LOCK key	Caps Lock 键
prediction	预测
X.509 v3 certificate	X.509 v3 证书
relay server	中继服务器
interrupt service routine	中断服务例程
ISR	ISR
QA	QA
quality assurance	质量保证
blittable type	blittable 类型
licensed file	许可的文件
nonpaged memory	非分页内存
browsing history	浏览历史记录
name registration request	名称注册请求
management group	管理组
control group	控件组
uni-processor	单处理器
Classic Rock	古典摇滚
primary zone	主要区域
turbulence octave	干扰放大
seek	寻道
relational OLAP	关系 OLAP
bank advice	银行通知书
strong password	强密码
tape-delayed	录音延迟
Plug and Play BIOS	即插即用 BIOS
clipping mask	剪切蒙板
"Zoom, In"	缩放，放大
API	API
application programming interface	应用程序编程接口
Address Rewriting Inbound agent	地址重写入站代理
recovery	恢复
Internet site	Internet 站点
float	浮动
compress	压缩
public IM service provider	公共 IM 服务提供商
transport rule	传输规则
allocation rule	分摊规则
agent assembly	代理程序集
built-in group	内置组
path	路径
Start Here	从这里开始
audit policy	审核策略
face up	正面向上
option group	选项组
tracing image	描摹图像
server cursor	服务器游标
Winnt32.exe	Winnt32.exe
scale	刻度
internal release	内部发布
uplink	上行
free cell	空白格
holding cell	放牌格
catalog data	目录数据
Punk	朋克
Pricing Method	定价方式
reflexive relationship	反身关系
HTTP reverse proxy	HTTP 反向代理
reverse proxy	反向代理
Consolidator	合并计算器
Junior Detective	初级警探
type safety	类型安全性
global policy	全局策略
mirror margins	对称页边距
host operating system	主机操作系统
lost data	丢失数据
regression	回归
time stamp authority	时间戳颁发机构
fixed-width text file	定宽文本文件
hard-coding	硬编码
compliance report	相容性报告
current directory	当前目录
file backup	文件备份
orchestration	业务流程
EEPROM	EEPROM
electrically erasable programmable read-only memory	电可擦编程只读存储器
display field	显示字段
rendering extension	呈现扩展插件
Transform Parse	转换分析
heat pipe	热管
login security mode	登录安全模式
NDA	NDA
subproject	下级项目
text harvesting	词汇学习
Active Directory Lookup	Active Directory 查找
transactional dead-letter queue	事务性死信队列
flatbed scanner	平板扫描仪
reconcile	对帐
binding	绑定
data warehouse database	数据仓库数据库
data warehouse	数据仓库
Data Warehouse	数据仓库
pop-up window	弹出窗口
account reconciliation	帐户对帐
anchor window	定位窗口
relative link	相对链接
Tile image	平铺图像
Super Video CD	超级 VCD
SVCD	SVCD
flash memory	闪存
RFID process	RFID 进程
Sound Clip	音效剪辑
Any Character	任意字符
data file	数据文件
Language	语言
busy signal	忙线信号
checksum	校验和
package update	包更新
good manufacturing practice	生产质量管理规范
version number	版本号
MIME	MIME
Multipurpose Internet Mail Extensions	多用途 Internet 邮件扩展
